iter	Passed	Remaining
0	140	140707
1	141	70594
2	142	47251
3	142	35553
4	143	28526
5	143	23826
6	144	20475
7	145	17987
8	145	16033
9	146	14484
10	146	13196
11	147	12131
12	147	11225
13	148	10447
14	148	9773
15	149	9184
16	149	8663
17	150	8199
18	150	7784
19	151	7411
20	151	7073
21	152	6767
22	152	6488
23	153	6233
24	153	5997
25	154	5777
26	154	5576
27	155	5392
28	155	5222
29	156	5061
30	157	4915
31	157	4778
32	158	4644
33	159	4520
34	159	4400
35	160	4286
36	160	4178
37	161	4076
38	161	3979
39	161	3887
40	162	3800
41	163	3718
42	163	3640
43	164	3564
44	164	3492
45	165	3423
46	165	3357
47	166	3293
48	166	3231
49	166	3172
50	167	3117
51	168	3064
52	168	3012
53	169	2961
54	169	2914
55	170	2868
56	170	2823
57	171	2779
58	171	2737
59	172	2701
60	173	2666
61	174	2636
62	174	2601
63	175	2566
64	176	2532
65	176	2499
66	177	2468
67	177	2435
68	178	2403
69	178	2373
70	179	2343
71	179	2314
72	180	2286
73	180	2258
74	181	2234
75	181	2209
76	182	2185
77	182	2162
78	183	2139
79	184	2116
80	184	2094
81	185	2073
82	185	2049
83	186	2029
84	186	2008
85	187	1988
86	187	1969
87	188	1950
88	188	1932
89	189	1913
90	189	1896
91	190	1881
92	191	1866
93	191	1849
94	192	1832
95	192	1816
96	193	1800
97	193	1784
98	194	1769
99	195	1755
100	195	1740
101	196	1726
102	196	1712
103	197	1699
104	197	1685
105	198	1672
106	198	1659
107	199	1648
108	200	1637
109	200	1625
110	201	1613
111	202	1601
112	202	1589
113	203	1578
114	203	1568
115	204	1559
116	205	1548
117	205	1537
118	206	1526
119	206	1515
120	207	1504
121	207	1493
122	208	1484
123	208	1473
124	209	1463
125	209	1453
126	209	1443
127	210	1433
128	210	1424
129	211	1415
130	211	1405
131	212	1396
132	212	1386
133	213	1378
134	213	1369
135	214	1360
136	214	1352
137	215	1344
138	215	1337
139	216	1328
140	216	1320
141	217	1312
142	217	1304
143	218	1297
144	218	1289
145	219	1281
146	219	1274
147	220	1267
148	220	1260
149	221	1253
150	221	1246
151	222	1241
152	223	1234
153	223	1228
154	224	1222
155	224	1216
156	225	1209
157	225	1203
158	226	1197
159	226	1191
160	227	1184
161	227	1178
162	228	1172
163	228	1167
164	229	1162
165	230	1156
166	230	1151
167	231	1145
168	231	1140
169	232	1134
170	232	1129
171	233	1123
172	233	1118
173	234	1113
174	235	1108
175	235	1103
176	236	1098
177	236	1093
178	237	1089
179	238	1085
180	239	1081
181	239	1077
182	240	1072
183	240	1067
184	241	1062
185	241	1058
186	242	1053
187	242	1049
188	243	1044
189	243	1040
190	244	1035
191	245	1031
192	245	1027
193	246	1023
194	246	1019
195	247	1015
196	248	1011
197	249	1009
198	249	1005
199	250	1001
200	250	997
201	251	993
202	252	990
203	252	986
204	253	982
205	253	978
206	254	974
207	254	970
208	255	966
209	255	962
210	256	958
211	256	954
212	257	950
213	257	946
214	258	942
215	258	939
216	259	935
217	259	932
218	260	928
219	260	924
220	261	920
221	261	917
222	262	914
223	262	910
224	263	907
225	264	904
226	264	901
227	265	898
228	266	895
